Category,Test Name,Test Description,Units,Gender,Min Reference Range,Max Reference Range,Age Min,Min Age Unit,Age Max,Max Age Unit,Remarks
BIOCHEMISTRY,POST PRANDIAL BLOOD SUGAR (PPBS),POST PRANDIAL BLOOD SUGAR,mg/dl,M/F,70,140,0,YEARS,100,YEARS,
BIOCHEMISTRY,PROTEIN / CREATININE RATIO - URINE (RANDOM),PROTEIN / CREATININE RATIO - URINE (RANDOM),mg/mg,M/F,0,0.2,0,YEARS,100,YEARS,
BIOCHEMISTRY,PROTHROMBINE TIME,PROTHROMBINE TIME,sec,M/F,11,14,0,YEARS,100,YEARS,
BIOCHEMISTRY,RANDOM BLOOD SUGAR (RBS),RANDOM BLOOD SUGAR,mg/dl,M/F,60,140,0,YEARS,100,YEARS,
BIOCHEMISTRY,RENAL FUNCTION TEST (RFT),SERUM URIC ACID,mg/dL,M,3.5,7.2,0,YEARS,100,YEARS,
BIOCHEMISTRY,RENAL FUNCTION TEST (RFT),SERUM URIC ACID,mg/dL,F,2.6,6,0,YEARS,100,YEARS,
BIOCHEMISTRY,RENAL FUNCTION TEST (RFT),BLOOD UREA,mg/dL,M/F,10,50,0,YEARS,100,YEARS,
BIOCHEMISTRY,RENAL FUNCTION TEST (RFT),SERUM CREATININE,mg/dL,M/F,0.6,1.4,0,YEARS,100,YEARS,
BIOCHEMISTRY,RHEUMATOID FACTOR (RA),RHEUMATOID FACTOR,IU/mL,M/F,0,15,0,YEARS,100,YEARS,
BIOCHEMISTRY,RTPCR,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM AMYLASE,AMYLASE,IU/L,M/F,0,140,0,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM BILIRUBIN,TOTAL BILIRUBIN,mg/dl,M/F,0,1,0,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM BILIRUBIN,DIRECT BILIRUBIN,mg/dl,M/F,0,0.25,0,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM BILIRUBIN,INDIRECT BILIRUBIN,mg/dl,M/F,0,0.75,0,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM CALCIUM,SERUM CALCIUM,mg/dL,M/F,8.6,10.3,0,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM CHLORIDE,S. CHLORIDE,mmol/L,M/F,98,108,0,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM CREATININE,SERUM CREATININE,mg/dL,M/F,0.6,1.4,0,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM ELECTROLYTES,S.SODIUM(NA+),mmol/l,M/F,135,155,0,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM ELECTROLYTES,S.POTASSIUM(K+),mmol/l,M/F,3.5,5.5,0,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM ELECTROLYTES,S. CHLORIDE,mmol/l,M/F,98,108,0,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM GLOBULIN,SERUM GLOBULIN,g/dL,M/F,2.3,3.5,0,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM MAGNESIUM,SERUM MAGNESIUM,mg/dL,M/F,1.7,2.4,0,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM PHOSPHORUS,SERUM PHOSPHORUS,mg/dl,M,2.1,5.6,11,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM PHOSPHORUS,SERUM PHOSPHORUS,mg/dl,F,1.5,6.8,11,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM PHOSPHORUS,SERUM PHOSPHORUS,mg/dl,M/F,4,7,1,YEARS,10,YEARS,
BIOCHEMISTRY,SERUM POTASSIUM(K+),S.POTASSIUM(K+),mmol/L,M/F,3.5,5.5,0,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM PROTEIN ELECTROPHORESIS,ALBUMIN,g/dL,M/F,3.5,5,0,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM PROTEIN ELECTROPHORESIS,"α1 
",g/dL,M/F,0.1,0.3,0,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM PROTEIN ELECTROPHORESIS,"α2
",g/dL,M/F,0.6,1,0,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM PROTEIN ELECTROPHORESIS,"β
",g/dL,M/F,0.7,1.2,0,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM PROTEIN ELECTROPHORESIS,"γ 
",g/dL,M/F,0.7,1.6,0,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM SODIUM (Na+),S.SODIUM,mmol/L,M/F,135,155,0,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM TRIGLYCERIDES,SERUM TRIGLYCERIDES,mg/dl,M/F,10,150,0,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM URIC ACID,SERUM URIC ACID,mg/dL,M,3.5,7.2,0,YEARS,100,YEARS,
BIOCHEMISTRY,SERUM URIC ACID,SERUM URIC ACID,mg/dL,F,2.6,6,0,YEARS,100,YEARS,
BIOCHEMISTRY,SGOT,S G O T,U/L,M/F,,40,0,YEARS,100,YEARS,
BIOCHEMISTRY,SGPT,S G P T,U/L,M/F,,40,0,YEARS,100,YEARS,
BIOCHEMISTRY,TOTAL CHOLESTROL,TOTAL CHOLESTROL,mg/dl,M/F,10,199,0,YEARS,100,YEARS,
BIOCHEMISTRY,TOTAL PROTEIN,TOTAL PROTEIN,g/dl,M/F,6,8.5,0,YEARS,100,YEARS,
BIOCHEMISTRY,TROPININ-I,TROPININ-I,ng/mL,M/F,0,0.04,0,YEARS,100,YEARS,
BIOCHEMISTRY,TROPONIN T,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
BIOCHEMISTRY,VLDL,VLDL CHOLESTEROL,mg/dl,M/F,0,60,0,YEARS,100,YEARS,
HORMONE ASSAYS,17-OH-PROGESTERONE,OH-PROGESTERONE,ng/dL,M,0,220,0,YEARS,100,YEARS,
HORMONE ASSAYS,17-OH-PROGESTERONE,FOLLICULAR,ng/dL,F,0,80,0,YEARS,100,YEARS,
HORMONE ASSAYS,17-OH-PROGESTERONE,LUTEAL,ng/dL,F,0,285,0,YEARS,100,YEARS,
HORMONE ASSAYS,ACCP(ANTICYCLIC CITRALLINATED PEPTIDE),ACCP(ANTICYCLIC CITRALLINATED PEPTIDE),U/mL,M/F,0,20,0,YEARS,100,YEARS,
HORMONE ASSAYS,AFP,AFP,ng/mL,M/F,0,50000,1,DAYS,1,MONTH,
HORMONE ASSAYS,AFP,AFP,ng/mL,M/F,0,100,1,MONTH,1,YEARS,
HORMONE ASSAYS,AFP,AFP,ng/mL,M/F,0,10,1,YEARS,100,YEARS,
HORMONE ASSAYS,ANTI Ds DNA,ANTI Ds DNA,IU/ml,M/F,0,100,0,YEARS,100,YEARS,
HORMONE ASSAYS,ANTI HAV IGM,ANTI HAV IGM,s/Co,M/F,0,0.99,0,YEARS,100,YEARS,
HORMONE ASSAYS,B -HCG,β- HCG,mIU/ml,M/F,,5,0,YEARS,100,YEARS,
HORMONE ASSAYS,CA 19-9,CA 19-9,U/ml,M/F,0,37,0,YEARS,100,YEARS,
HORMONE ASSAYS,CEA,CEA,ng/mL,M/F,0,3,0,YEARS,100,YEARS,
HORMONE ASSAYS,ESTRADIOL,ESTRADIOL,pg/ml,M/F,0,20,1,DAYS,17,YEARS,
HORMONE ASSAYS,ESTRADIOL,ESTRADIOL,pg/ml,M,10,50,18,YEARS,100,YEARS,
HORMONE ASSAYS,ESTRADIOL,FOLLICULAR,pg/ml,F,20,350,18,YEARS,100,YEARS,
HORMONE ASSAYS,ESTRADIOL,LUTEAL,pg/ml,F,30,450,18,YEARS,100,YEARS,
HORMONE ASSAYS,ESTRADIOL,POSTMENO,pg/ml,F,0,20,0,YEARS,100,YEARS,
HORMONE ASSAYS,FREE TESTOSTERONE,FREE TESTOSTERONE,cg/mL,M/F,0.04,4.18,0,YEARS,100,YEARS,
HORMONE ASSAYS,FSH,FOLLICLE STIMULATING HORMONE (FSH),µIU/ml,M,1.7,12,0,YEARS,100,YEARS,
HORMONE ASSAYS,FSH,FOLLICLE STIMULATING HORMONE (FSH),µIU/ml,F,,,0,YEARS,100,YEARS,
HORMONE ASSAYS,FT3,FT3,pmol/L,M/F,2.3,4.2,0,YEARS,100,YEARS,
HORMONE ASSAYS,FT4,FT4,pmol/L,M/F,0.89,1.76,0,YEARS,100,YEARS,
HORMONE ASSAYS,HLAB-27,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
HORMONE ASSAYS,LH,LUTEINIZING HORMONE (LH),µlU/ml,M,1.1,7,0,YEARS,100,YEARS,
HORMONE ASSAYS,LH,LUTEINIZING HORMONE (LH),µlU/ml,F,,,0,YEARS,100,YEARS,
HORMONE ASSAYS,PROGESTERONE,PROGESTERONE,µIU/ml,M,0.25,0.56,0,YEARS,100,YEARS,
HORMONE ASSAYS,PROGESTERONE,PROGESTERONE,µIU/ml,F,,,0,YEARS,100,YEARS,
HORMONE ASSAYS,PROLACTIN,PROLACTIN,ng/ml,M,3,25,0,YEARS,100,YEARS,
HORMONE ASSAYS,PROLACTIN,PROLACTIN,ng/ml,F,5,35,0,YEARS,100,YEARS,
HORMONE ASSAYS,PSA,P.S.A,ng/ml,M/F,0,4,0,YEARS,100,YEARS,
HORMONE ASSAYS,SERUM CORTISOL,CORTISOL EVENING,ng/ml,M/F,32.4,150,0,YEARS,100,YEARS,
HORMONE ASSAYS,SERUM CORTISOL,CORTISOL MORNING,ng/ml,M/F,72.6,322.8,0,YEARS,100,YEARS,
HORMONE ASSAYS,SERUM CORTISOL,CORTISOL RANDOM,ng/ml,M/F,52,350,0,YEARS,100,YEARS,
HORMONE ASSAYS,SPUTUM FUNGUS STAIN,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
HORMONE ASSAYS,T3,TOTAL TRIIODOTHYRONINE (T3),nmol/L,F,0.93,3.7,20,YEARS,45,YEARS,
HORMONE ASSAYS,T3,TOTAL TRIIODOTHYRONINE (T3),nmol/L,M/F,0.93,3.3,45,YEARS,100,YEARS,
HORMONE ASSAYS,T3,TOTAL TRIIODOTHYRONINE (T3),nmol/L,M/F,1.6,5.3,4,DAYS,1,MONTHS,
HORMONE ASSAYS,T3,TOTAL TRIIODOTHYRONINE (T3),nmol/L,M/F,1.6,3.8,1,MONTHS,1,YEARS,
HORMONE ASSAYS,T3,TOTAL TRIIODOTHYRONINE (T3),nmol/L,M/F,1.6,4.1,1,YEARS,5,YEARS,
HORMONE ASSAYS,T3,TOTAL TRIIODOTHYRONINE (T3),nmol/L,M/F,0.93,3.7,6,YEARS,10,YEARS,
HORMONE ASSAYS,T3,TOTAL TRIIODOTHYRONINE (T3),nmol/L,M/F,1.5,11.4,0,DAYS,4,DAYS,
HORMONE ASSAYS,T4,TOTAL THYROXINE (T4),nmol/L,F,60,120,20,YEARS,45,YEARS,
HORMONE ASSAYS,T4,TOTAL THYROXINE (T4),nmol/L,M/F,60,120,46,YEARS,100,YEARS,
HORMONE ASSAYS,T4,TOTAL THYROXINE (T4),nmol/L,M/F,106,221,4,DAYS,1,MONTHS,
HORMONE ASSAYS,T4,TOTAL THYROXINE (T4),nmol/L,M/F,76,210,1,MONTHS,1,YEARS,
HORMONE ASSAYS,T4,TOTAL THYROXINE (T4),nmol/L,M/F,94,193,1,YEARS,5,YEARS,
HORMONE ASSAYS,T4,TOTAL THYROXINE (T4),nmol/L,M/F,82,171,6,YEARS,10,YEARS,
HORMONE ASSAYS,T4,TOTAL THYROXINE (T4),nmol/L,M/F,71,152,11,YEARS,15,YEARS,
HORMONE ASSAYS,T4,TOTAL THYROXINE (T4),nmol/L,M/F,55,152,16,YEARS,20,YEARS,
HORMONE ASSAYS,T4,TOTAL THYROXINE (T4),nmol/L,M/F,142,277,1,DAYS,4,DAYS,
HORMONE ASSAYS,TESTOSTERONE,TESTOSTERONE,ng/ml,M,3,10.4,0,YEARS,100,YEARS,
HORMONE ASSAYS,TESTOSTERONE,TESTOSTERONE,ng/ml,F,0.1,0.9,0,YEARS,100,YEARS,
HORMONE ASSAYS,"THYROID ANTIBODIES, SERUM",ANTI TPO,IU/mL,M/F,0,35,0,YEARS,100,YEARS,
HORMONE ASSAYS,"THYROID ANTIBODIES, SERUM",ANTI TG,IU/mL,M/F,0,40,0,YEARS,100,YEARS,
HORMONE ASSAYS,"THYROID ANTIBODIES, SERUM",TRAB,IU/mL,M/F,0,1.75,0,YEARS,100,YEARS,
HORMONE ASSAYS,"THYROID PROFILE (T3, T4, TSH)",TOTAL TRIIODOTHYRONINE (T3),nmol/L,M/F,0.6,1.8,0,YEARS,100,YEARS,
HORMONE ASSAYS,"THYROID PROFILE (T3, T4, TSH)",TOTAL THYROXINE (T4),nmol/L,M/F,4.5,12.6,0,YEARS,100,YEARS,
HORMONE ASSAYS,"THYROID PROFILE (T3, T4, TSH)",THYROID STIMULATING HORMONE (TSH),µlU/ml,M/F,0.35,5.5,0,YEARS,100,YEARS,
HORMONE ASSAYS,TORCH IgG,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
HORMONE ASSAYS,TORCH IgM,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
HORMONE ASSAYS,TORCH PANEL,TOXOPLASMA GONDII(TOXO)-IGG,IU/mL,M/F,8,11,0,YEARS,100,YEARS,
HORMONE ASSAYS,TORCH PANEL,TOXOPLASMA GONDII(TOXO)-IGM,Ratio,M/F,0.8,1.1,0,YEARS,100,YEARS,
HORMONE ASSAYS,TORCH PANEL,RUBELLA IGG,IU/mL,M/F,8,11,0,YEARS,100,YEARS,
HORMONE ASSAYS,TORCH PANEL,RUBELLA IGM,Ratio,M/F,0.8,1.1,0,YEARS,100,YEARS,
HORMONE ASSAYS,TORCH PANEL,CYTOMEGALO VIRUS IGG(CMV-IGG),RU/mL,M/F,16,22,0,YEARS,100,YEARS,
HORMONE ASSAYS,TORCH PANEL,CYTOMEGALO VIRUS IGM(CMV-IGM),Ratio,M/F,0.8,1.1,0,YEARS,100,YEARS,
HORMONE ASSAYS,TORCH PANEL,HERPES SIMPLEX VIRUS(HSV-1)-IGG,RU/mL,M/F,16,22,0,YEARS,100,YEARS,
HORMONE ASSAYS,TPHA,TPHA,s/Co,M/F,0,1,0,YEARS,100,YEARS,
HORMONE ASSAYS,TRIPLE MARKER TEST,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
HORMONE ASSAYS,TSH,THYROID STIMULATING HORMONE (TSH),µIU/ml,M/F,0.35,5.5,21,YEARS,100,YEARS,
HORMONE ASSAYS,TSH,THYROID STIMULATING HORMONE (TSH),µIU/ml,M/F,0.8,8.2,1,MONTHS,1,YEARS,
HORMONE ASSAYS,TSH,THYROID STIMULATING HORMONE (TSH),µIU/ml,M/F,1.7,9.1,1,DAYS,4,WEEKS,
HORMONE ASSAYS,TSH,THYROID STIMULATING HORMONE (TSH),µIU/ml,M/F,1.6,30,1,DAYS,4,DAYS,
HORMONE ASSAYS,TSH,THYROID STIMULATING HORMONE (TSH),µIU/ml,M/F,0.7,5.7,1,YEARS,20,YEARS,
HORMONE ASSAYS,Vitamin B12,VITAMIN B-12,pg/ml,M/F,211,911,0,YEARS,100,YEARS,
HORMONE ASSAYS,VITAMIN D3,25-OH VITAMIN D (TOTAL),ng/ml,M/F,0,0,0,YEARS,100,YEARS,
MICROBIOLOGY,CULTURE & SENSITIVITY - BLOOD,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
MICROBIOLOGY,CULTURE & SENSITIVITY - BRONCHIAL WASH,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
MICROBIOLOGY,CULTURE & SENSITIVITY - CATHETER TIP,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
MICROBIOLOGY,CULTURE & SENSITIVITY - CVP TIP,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
MICROBIOLOGY,CULTURE & SENSITIVITY - EAR /THROAT SWAB,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
MICROBIOLOGY,CULTURE & SENSITIVITY - ET TUBE TIP,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
MICROBIOLOGY,CULTURE & SENSITIVITY - EYE SWAB,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
MICROBIOLOGY,CULTURE & SENSITIVITY - FLUID,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
MICROBIOLOGY,CULTURE & SENSITIVITY - OT SWAB,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
MICROBIOLOGY,CULTURE & SENSITIVITY - PUS,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
MICROBIOLOGY,CULTURE & SENSITIVITY - SPUTUM,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
MICROBIOLOGY,CULTURE & SENSITIVITY - STOOL,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
MICROBIOLOGY,CULTURE & SENSITIVITY - SYNOVIAL FLUID,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
MICROBIOLOGY,CULTURE & SENSITIVITY - TISSUE,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
MICROBIOLOGY,CULTURE & SENSITIVITY - URINE,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
MICROBIOLOGY,CULTURE & SENSITIVITY - VAGINAL SWAB,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
MICROBIOLOGY,GRAM STAIN,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
MICROBIOLOGY,SPUTUM FOR AFB,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
MICROBIOLOGY,UMBILICAL TIP FOR CULTURE,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
OTHER TESTS,2D ECHO,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
OTHER TESTS,ANA,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
OTHER TESTS,CSF CYTOLOGY,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
OTHER TESTS,INDIA INK PREPARATION,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
OTHER TESTS,INHALATION ALLERGY TES,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
OTHER TESTS,KOH MOUNT,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
OTHER TESTS,PAP SMEAR,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
OTHER TESTS,PAP SMEAR CYTOLOGY,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
OTHER TESTS,PLEURAL FLUID CYTOLOGY,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
OTHER TESTS,SPUTUM CYTOLOGY,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
OTHER TESTS,URINE CYTOLOGY,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
OTHER TESTS,R A T (CARD TEST),DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
OTHER TESTS,LUMBER SPINE (LAT VIEW),DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
SEROLOGY,ASO TITRE,ASO TITRE,IU/mL,M/F,0,200,0,YEARS,100,YEARS,
SEROLOGY,CD4,CD4 COUNT,cells/µL,M/F,500,1600,0,YEARS,100,YEARS,
SEROLOGY,CHIKUNGUNYA IgM,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
SEROLOGY,HBsAg (CARD TEST),DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
SEROLOGY,HBsAg ELISA,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
SEROLOGY,HCV (CARD TEST),DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
SEROLOGY,HCV CLIA,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
SEROLOGY,HIV 1 & 2,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
SEROLOGY,HIV CLIA,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
SEROLOGY,HIV ELISA,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
SEROLOGY,IgE LEVEL,IGE LEVEL,IU/ml,M/F,0,200,0,YEARS,100,YEARS,
SEROLOGY,PCT,PCT,ng/ml,M/F,0,0.5,0,YEARS,100,YEARS,
SEROLOGY,PIH PROFILE,URIC ACID,mg/dL,M,3.4,7,0,YEARS,100,YEARS,
SEROLOGY,PIH PROFILE,URIC ACID,mg/dL,F,2.6,6,0,YEARS,100,YEARS,
SEROLOGY,PIH PROFILE,LDH[LACTATE DEHYDROGENASE],U/L,M/F,125,220,0,YEARS,100,YEARS,
SEROLOGY,PIH PROFILE,PROTEINURIA(24HR),mg/24h,M/F,0,150,0,YEARS,100,YEARS,
SEROLOGY,VDRL,DROPDOWN-REACTIVE/NONREACTIVE,N/A,M/F,,,0,YEARS,100,YEARS,
SEROLOGY,WEIL - FELIX TEST,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
SEROLOGY,WIDAL SLIDE,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
SEROLOGY,WIDAL TUBE TEST,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-ray Pelvis LAT view,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,USG OF WHOLE ABDOMEN (MALE),,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,USG OF CAROTID DOPPLER,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,OBSTERIC ULTRASOUND,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,CT SCAN OF BRAIN ( PLAIN STUDY),,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,CT WHOLE ABDOMEN (MALE),,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,CT PNS AXIAL AND CORONAL,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,CT CHEST (HRCT) PLAIN,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,CT MASTIODS,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,CT 3D FACIAL BONE,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,CT KUB,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,CT - CERVICAL SPINE (PLAIN),,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,CT LUMBER SPAIN,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,CT CHEST PLAIN,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY CHEST PA VIEW,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY ABDOMEN ERECT,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY ANKLE AP AND LATERAL VIEW,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY ARM AP AND LATERAL VIEW,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY BARIUM ENEMA,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY BARIUM MEAL FOLLOW THROUGH,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY BARIUM MEAL MEAL SERIES,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY BARIUM SWALLOW,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X - RAY CERVICAL SPINE AP & LATERAL,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY DORSAL SPINE AP & LATERAL VIEWS,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY LUMBAL SPINE AP AND LAT VIEW,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY PELVIS AP VIEW,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY SHOULDER AP VIEW,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY WRIST AP & LAT VIEW,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY SKULL AP and LATERAL VIEW,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X- RAY PNS,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY LEG AP AND LATERAL VIEW,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY HIP AP and LATERAL VIEW,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY FORE ARM AP & LAT VIEW,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X- RAY FOOT AP AND OBLIQUE VIEW DIGITAL,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY ELBOW AP AND LAT VIEW,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY BOTH KNEE AP AND LAT VIEW,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY KNEE AP AND LAT VIEW ( Digital),,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY HSG,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY IVP,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY KUB,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,ECG,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,MAMMOGRAPHY,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,EEG,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,KG X-RAY ANKLE AP/LAT,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X- RAY LEFT HIP LAT VIEW,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY ANKLE AP & LATERAL VIEWS,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,X-RAY THIGH LAT VIEW,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,ULTRA SOUND ABDOMEN FEMALE (USF),,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,CT CONTRAST,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,ULTRA SOUND LEFT LOWER LIMB,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,ULTRA NEUROSONOGRAM,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,EARLY TIFFA,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,TWINS TIFFA,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,FOLLICULAR STUDY USG,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,ULTRA SOUND CHEST SCREENING,,N/A,M/F,,,0,YEARS,100,YEARS,
RADIOLOGY,ULTRA SOUND GRAVID UTERUS,,N/A,M/F,,,0,YEARS,100,YEARS,
