Category,Test Name,Test Description,Units,Gender,Min Reference Range,Max Reference Range,Age Min,Min Age Unit,Age Max,Max Age Unit,Remarks,ReportJson,ReferenceRanges
RADIOLOGY,Early OB AROUND 4 WEEKS,DETAILED REPORT,N/A,M/F,,,0,YEARS,100,YEARS,,"{
  ""reportType"": ""Antenatal US Scan (TAS)"",
  ""indication"": """",
  ""method"": ""Transabdominal ultrasound examination (TAS)"",
  ""sections"": [
    {
      ""title"": ""Findings"",
      ""content"": [
        ""Urinary bladder is distended, normal."",
        ""Uterus: Bulky, measures 9.2 x 6.0 x 6.4 cm and shows an intrauterine gestational sac with mean sac diameter of 10.0 mm corresponding to 4 weeks gestation. Yolk sac & fetal pole not appreciated."",
        ""Internal Os is closed."",
        ""Ovaries are normal."",
        ""No free fluid in peritoneal cavity.""
      ],
      ""contentType"": ""list""
    }
  ],
  ""tables"": [],
  ""impression"": ""Bulky uterus with early gestational sac (around 4 weeks duration). Suggested follow-up study after 2 weeks."",
  ""declaration"": ""I Dr. Mahesha B M declare that while conducting ultrasonography/image scanning on Mrs. Ayesha, I have neither detected nor disclosed the sex of the fetus to anybody in any manner."",
  ""followUp"": ""Follow-up study after 2 weeks.""
}",
RADIOLOGY,Early OB AROUND 5 WEEKS,DETAILED REPORT,N/A,M/F,,,0,YEARS,100,YEARS,,"{
  ""reportType"": ""Antenatal US Scan (TAS/TVS)"",
  ""indication"": """",
  ""method"": ""Transabdominal / Transvaginal ultrasound examination"",
  ""sections"": [
    {
      ""title"": ""Findings"",
      ""content"": [
        ""Urinary bladder is distended, normal."",
        ""Uterus: Enlarged, measures 8.5 x 7.0 x 6.0 cm and shows an intrauterine gestational sac with Yolk sac with mean sac diameter of 11.4 mm. Yolk sac is visualized. Fetal pole not appreciated."",
        ""Cervical length is normal. Internal Os is closed."",
        ""Ovaries are normal."",
        ""No free fluid in peritoneal cavity.""
      ],
      ""contentType"": ""list""
    }
  ],
  ""tables"": [],
  ""impression"": ""Early gestational sac corresponding to 5 weeks 2 days. Suggested follow-up study after 2 weeks."",
  ""declaration"": ""I Dr. Mahesha B M declare that while conducting ultrasonography/image scanning on Mrs. Tasheena Banu, I have neither detected nor disclosed the sex of the fetus to anybody in any manner."",
  ""followUp"": ""Follow-up study after 2 weeks.""
}",
RADIOLOGY,Missed abortion (abd-pelv),DETAILED REPORT,N/A,M/F,,,0,YEARS,100,YEARS,,"{
  ""reportType"": ""Ultrasound – Abdomen"",
  ""indication"": """",
  ""method"": ""Ultrasound examination"",
  ""sections"": [
    {
      ""title"": ""Findings"",
      ""content"": [
        ""LIVER: Normal in size and echotexture. No focal mass lesion seen. Hepatic veins and portal veins show normal caliber and flow pattern. Intra and extrahepatic biliary ducts are normal. CBD is normal."",
        ""GALL BLADDER: Distended with normal internal contents. Wall is within normal limits."",
        ""SPLEEN: Normal in size and echotexture. Normal hilum. No focal lesion."",
        ""PANCREAS: Normal in size and shape. Echotexture normal. Duct not dilated. Peripancreatic regions are normal."",
        ""KIDNEYS: Right: 10.3 x 4.5 cm, Parenchyma: 1.4 cm. Left: 10.1 x 4.7 cm, Parenchyma: 1.5 cm. Both kidneys normal in size, shape and corticomedullary echogenicity. No mass, calculi or hydronephrosis."",
        ""URINARY BLADDER: Distended with normal wall thickness. No abnormal internal contents."",
        ""Uterus: Anteverted, gravid. Slightly irregular intrauterine gestation sac with yolk sac noted. Foetal pole noted. Foetal movement and cardiac activity not appreciable. CRL: 2.8 cm. Mean gestational sac measures 4.6 cm (9 weeks 5 days). Cervical length: 3.2 cm. Internal Os is closed."",
        ""Ovaries: Both normal in size, shape and echotexture.""
      ],
      ""contentType"": ""list""
    }
  ],
  ""tables"": [
    {
      ""title"": ""Kidney Measurements"",
      ""columns"": [""Kidney"", ""Dimensions (cm)"", ""Parenchyma (cm)""],
      ""rows"": [
        [""Right"", ""10.3 x 4.5"", ""1.4""],
        [""Left"", ""10.1 x 4.7"", ""1.5""]
      ]
    }
  ],
  ""impression"": ""Features suggestive of missed abortion. Suggested correlation."",
  ""declaration"": """",
  ""followUp"": """"
}",
RADIOLOGY,MISSED ABORTION OBG,DETAILED REPORT,N/A,M/F,,,0,YEARS,100,YEARS,,"{
  ""reportType"": ""Antenatal Scan (TAS & TVS)"",
  ""indication"": """",
  ""method"": ""Transabdominal and transvaginal ultrasound examination"",
  ""sections"": [
    {
      ""title"": ""Findings"",
      ""content"": [
        ""Uterus: Anteverted, bulky with a regular intrauterine gestational sac measuring 3.2 cm."",
        ""Yolk sac: Present, measures 4 mm."",
        ""Foetal pole: Noted with CRL measuring 17 mm, partially adherent to wall. Cardiac movements are appreciated. Sludge/minimal internal echoes in amniotic fluid with minimally detached membrane at superior aspect."",
        ""Gestational age as per parameters: 8 weeks 1 day."",
        ""Ovaries: Both normally imaged."",
        ""Cervical length: 3.7 cm, normal. Internal Os is closed.""
      ],
      ""contentType"": ""list""
    }
  ],
  ""impression"": ""Intrauterine gestation sac with foetal node without cardiac activity and movements."",
  ""declaration"": """",
  ""followUp"": """"
}",
RADIOLOGY,MISSED ABORTION,DETAILED REPORT,N/A,M/F,,,0,YEARS,100,YEARS,,"{
  ""reportType"": ""Antenatal US Scan (TAS)"",
  ""indication"": """",
  ""method"": ""Transabdominal ultrasound examination"",
  ""sections"": [
    {
      ""title"": ""Findings"",
      ""content"": [
        ""LMP: 04.06.2018, GA by LMP: 11 weeks 2 days"",
        ""Urinary bladder: Distended, normal"",
        ""Uterus: Bulky, measures 9.0 x 8.3 x 6.5 cm, shows thick irregular intrauterine gestational sac with few echogenic areas. Cavity measures 2.1 x 5.3 cm. Foetal pole and yolk sac visualized. Foetal cardiac activity not visualized. Minimal fluid noted adjacent to sac inferiorly"",
        ""Cervical length: Normal. Internal Os is closed"",
        ""Ovaries: Normal"",
        ""No free fluid in peritoneal cavity""
      ],
      ""contentType"": ""list""
    }
  ],
  ""impression"": ""Bulky uterus with irregular intrauterine sac & ill-defined echoes"",
  ""declaration"": """",
  ""followUp"": """"
}",
RADIOLOGY,OBG - 25 Weeks . M,DETAILED REPORT,N/A,M/F,,,0,YEARS,100,YEARS,,"{
  ""reportType"": ""Obstetric Ultrasound"",
  ""indication"": """",
  ""method"": ""Transabdominal ultrasound examination"",
  ""sections"": [
    {
      ""title"": ""Patient Details"",
      ""content"": [
        ""LMP: 01.04.2020"",
        ""Clinical Age: 26 weeks 1 day"",
        ""Clinical EDD: 06.01.2021""
      ],
      ""contentType"": ""list""
    },
    {
      ""title"": ""Findings"",
      ""content"": [
        ""Single live active foetus in breech presentation. Spine of foetus to the left of maternal abdomen with good movements"",
        ""Foetal Biometry: BPD – 6.7 cm, HC – 24.6 cm, AC – 23.0 cm, FL – 5.0 cm"",
        ""EDD: 31.12.2020, Weight: 1020 +/- 151 gms"",
        ""Foetal Gestational Age as per parameters: 27 weeks 0 days"",
        ""Placenta: Fundal, posterior, Grade II maturity. 3 vessel cord with central attachment"",
        ""Liquor: Normal, 16.8 cm from 4 quadrants, adequate"",
        ""Foetal heart beats: 151/min, regular"",
        ""Cranio vertebral junction, foetal stomach, kidneys and urinary bladder normally imaged"",
        ""Foetal limbs, spine and face to the extent imaged are normal with good movements"",
        ""Doppler flow from UA, MCA & uterine arteries normal with normal CPR""
      ],
      ""contentType"": ""list""
    },
    {
      ""title"": ""Cardia"",
      ""content"": [
        ""Axis is normal"",
        ""Four chamber view shows normal ventricles, atrium, AV valves, IAS and IVS"",
        ""Normal origin of aorta and pulmonary arteries"",
        ""Normal function and rhythm noted""
      ],
      ""contentType"": ""list""
    }
  ],
  ""impression"": ""Single live intrauterine pregnancy of 27 weeks gestation in breech presentation"",
  ""declaration"": ""I Dr. Mahesha B M declare that while conducting sonography/image scanning on Mrs. Shahnaz Khanum, I have neither detected nor disclosed the sex of the foetus to anybody in any manner"",
  ""followUp"": """"
}",
RADIOLOGY,OBG - Anomaly M Breech,DETAILED REPORT,N/A,M/F,,,0,YEARS,100,YEARS,,"{
  ""reportType"": ""Obstetric Ultrasound"",
  ""indication"": """",
  ""method"": ""Transabdominal ultrasound examination"",
  ""sections"": [
    {
      ""title"": ""Patient Details"",
      ""content"": [
        ""LMP: 23.05.2020"",
        ""Clinical Age: 20 weeks 3 days"",
        ""Clinical EDD: 27.02.2021""
      ],
      ""contentType"": ""list""
    },
    {
      ""title"": ""Findings"",
      ""content"": [
        ""Single live active foetus in breech presentation. Spine of foetus to the left of maternal abdomen with good movements"",
        ""Foetal Biometry: BPD – 4.8 cm, HC – 17.4 cm, AC – 14.4 cm, FL – 3.5 cm"",
        ""EDD: 27.02.2021, Weight: 350 gms"",
        ""Foetal Gestational Age as per parameters: 20 weeks 3 days"",
        ""Placenta: Posterior, Grade I maturity. 3 vessel cord with central attachment"",
        ""Cervical length: 4.0 cm"",
        ""Liquor: Normal and adequate"",
        ""Foetal heart beats: 142/min"",
        ""Cranio vertebral junction, foetal stomach, kidneys and urinary bladder normally imaged"",
        ""Foetal limbs, spine and face to the extent imaged are normal""
      ],
      ""contentType"": ""list""
    },
    {
      ""title"": ""Cardia"",
      ""content"": [
        ""Axis is normal"",
        ""Four chamber view shows normal ventricles, atrium, AV valves. IAS and IVS are intact"",
        ""Normal origin of aorta and pulmonary arteries"",
        ""Normal function and rhythm noted""
      ],
      ""contentType"": ""list""
    }
  ],
  ""impression"": ""Single live intrauterine pregnancy of 20 weeks 3 days gestation in breech presentation"",
  ""declaration"": ""I Dr. Mahesha B M declare that while conducting sonography/image scanning on Mrs. Arbeen Taj, I have neither detected nor disclosed the sex of the foetus to anybody in any manner"",
  ""followUp"": """"
}",
RADIOLOGY,OBG - Anomaly M Transverse Lie,DETAILED REPORT,N/A,M/F,,,0,YEARS,100,YEARS,,"{
  ""reportType"": ""Antenatal Ultrasound"",
  ""sections"": [
    {
      ""title"": ""Findings"",
      ""content"": ""Single live active intrauterine fetus in transverse lie with fetal head in maternal left flank."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Biometric Measurements"",
      ""content"": [
        { ""parameter"": ""BPD"", ""value"": ""5.2 cms"" },
        { ""parameter"": ""FL"", ""value"": ""3.7 cms"" },
        { ""parameter"": ""FHR"", ""value"": ""140/min"" },
        { ""parameter"": ""AC"", ""value"": ""19.6 cms"" },
        { ""parameter"": ""HC"", ""value"": ""17.2 cms"" },
        { ""parameter"": ""EFW"", ""value"": ""465 gms"" }
      ],
      ""contentType"": ""table""
    },
    {
      ""title"": ""Gestational Details"",
      ""content"": [
        ""USG Gestational age: 22 weeks 0 days"",
        ""EDD: 04/02/2021""
      ],
      ""contentType"": ""list""
    },
    {
      ""title"": ""Placenta and Liquor"",
      ""content"": [
        ""Placenta: Posterior wall with Grade I maturity"",
        ""Liquor: Adequate"",
        ""Cervical length: 4.0 cm""
      ],
      ""contentType"": ""list""
    },
    {
      ""title"": ""Fetal Wellbeing"",
      ""content"": [
        ""Fetal movements and breathing are normal"",
        ""Fetal tone is good"",
        ""Fetal skull, CV junction, stomach, spine, kidneys and fetal bladder are normal in position and size""
      ],
      ""contentType"": ""list""
    },
    {
      ""title"": ""Cardia"",
      ""content"": [
        ""Situs, position and axis are normal (44 degrees)"",
        ""Four chamber views show normal ventricles, atrium, AV valves, IAS and IVS"",
        ""Normal function and rhythm noted""
      ],
      ""contentType"": ""list""
    },
    {
      ""title"": ""Doppler Study"",
      ""content"": [
        ""Umbilical cord and uterine arteries on both sides show normal waveform"",
        ""3 vessel cord noted with central attachment""
      ],
      ""contentType"": ""list""
    }
  ],
  ""impression"": ""Single live intrauterine pregnancy of 22 weeks gestation in transverse lie."",
  ""declaration"": ""I Dr. Mahesha B M declare that while conducting sonography/image scanning on Mrs. Asha Bai, I have neither detected nor disclosed the sex of the foetus to anybody in any manner."",
  ""followUp"": """"
}",
RADIOLOGY,OBG - Anomaly M Vertex,DETAILED REPORT,N/A,M/F,,,0,YEARS,100,YEARS,,"{
  ""reportType"": ""Obstetric Ultrasound"",
  ""sections"": [
    {
      ""title"": ""LMP / Clinical Age"",
      ""content"": ""LMP – 10.07.2021, Clinical Age: 24 weeks 2 days"",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Findings"",
      ""content"": ""Single live active foetus in vertex presentation. Spine of foetus to the left of maternal abdomen with good movements."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Foetal Biometry"",
      ""content"": [
        { ""parameter"": ""BPD"", ""value"": ""5.9 cm"" },
        { ""parameter"": ""HC"", ""value"": ""22.2 cm"" },
        { ""parameter"": ""AC"", ""value"": ""19.0 cm"" },
        { ""parameter"": ""FL"", ""value"": ""4.5 cm"" },
        { ""parameter"": ""EDD"", ""value"": ""16.04.2022"" },
        { ""parameter"": ""Weight"", ""value"": ""675 gms"" }
      ],
      ""contentType"": ""table""
    },
    {
      ""title"": ""Gestational Age (Ultrasound)"",
      ""content"": ""Foetal gestational age as per parameters is 24 weeks 2 days."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Placenta / Liquor / Cervix"",
      ""content"": [
        ""Placenta: Posterior, Grade I maturity"",
        ""3 vessel cord with central attachment"",
        ""Cervical length: 5.0 cm"",
        ""Liquor: Normal and adequate""
      ],
      ""contentType"": ""list""
    },
    {
      ""title"": ""Additional Fetal Findings"",
      ""content"": [
        ""Foetal heart beats: 159/min"",
        ""Craniovertebral junction, foetal stomach, kidneys and urinary bladder normally imaged"",
        ""Foetal limbs, spine and face to the extent imaged are normal""
      ],
      ""contentType"": ""list""
    },
    {
      ""title"": ""Cardia"",
      ""content"": [
        ""Axis is normal"",
        ""Four chamber view shows normal ventricles, atrium, AV valves"",
        ""IAS and IVS are intact"",
        ""Normal origin of aorta and pulmonary arteries"",
        ""Normal function and rhythm noted""
      ],
      ""contentType"": ""list""
    }
  ],
  ""impression"": ""Single live intrauterine pregnancy of 24 weeks 2 days gestation in vertex presentation."",
  ""declaration"": ""I Dr. Mahesha B M declare that while conducting sonography/image scanning on Mrs. Shammemunnisha, I have neither detected nor disclosed the sex of the foetus to anybody in any manner."",
  ""followUp"": """"
}",
RADIOLOGY,"OBG AND DOPPLER, BPP",DETAILED REPORT,N/A,M/F,,,0,YEARS,100,YEARS,,"{
  ""reportType"": ""Obstetric Doppler Study"",
  ""sections"": [
    {
      ""title"": ""LMP / Gestational Age"",
      ""content"": ""LMP: 15.11.2017, GA by LMP: 36 weeks 6 days, EDD: 22.08.2018"",
      ""contentType"": ""text""
    },
    {
      ""title"": ""General Findings"",
      ""content"": ""A single live intrauterine gestation with vertex presentation is seen."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Foetal Parameters"",
      ""content"": [
        { ""parameter"": ""BPD"", ""value"": ""8.9 cms"" },
        { ""parameter"": ""HC"", ""value"": ""29.7 cms"" },
        { ""parameter"": ""AC"", ""value"": ""33.1 cms"" },
        { ""parameter"": ""FL"", ""value"": ""7.0 cms"" },
        { ""parameter"": ""U/S Age"", ""value"": ""35 weeks 2 days"" },
        { ""parameter"": ""EDD"", ""value"": ""02.09.2018"" },
        { ""parameter"": ""Foetal Weight"", ""value"": ""3048 +/- 457 gms"" }
      ],
      ""contentType"": ""table""
    },
    {
      ""title"": ""Placenta / Cord / Liquor"",
      ""content"": [
        ""Placenta: Anterior wall with Grade II maturity"",
        ""3 vessel cord with central attachment"",
        ""Liquor: Normal""
      ],
      ""contentType"": ""list""
    },
    {
      ""title"": ""Fetal Wellbeing"",
      ""content"": [
        ""Foetal heart beats: 140/min during resting and 152/min during movements"",
        ""Reactivity: present"",
        ""Foetal tone: good"",
        ""Foetal breathing movements: normal"",
        ""Foetal gross body movements: normal"",
        ""Manning Score: 10/10"",
        ""Craniovertebral junction, foetal cardia, stomach, kidneys and urinary bladder normally imaged"",
        ""Foetal limbs, spine and face to the extent imaged are normal""
      ],
      ""contentType"": ""list""
    },
    {
      ""title"": ""Cervix"",
      ""content"": ""Normal in length, measures 4.0 cms."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Doppler Study"",
      ""content"": [
        ""Bilateral uterine arteries show normal colour uptake, flow pattern and velocities"",
        ""No evidence of early diastolic notch"",
        ""Umbilical artery and vein show normal colour uptake and flow pattern"",
        ""No evidence of reversal of flow in the umbilical artery"",
        ""Fetal MCA shows normal colour uptake"",
        ""No evidence of brain sparing effect""
      ],
      ""contentType"": ""list""
    }
  ],
  ""impression"": """",
  ""declaration"": """",
  ""followUp"": """"
}",
RADIOLOGY,OBG AND DOPPLER,DETAILED REPORT,N/A,M/F,,,0,YEARS,100,YEARS,,"{
  ""reportType"": ""Obstetric Doppler Study"",
  ""sections"": [
    {
      ""title"": ""LMP / Gestational Age"",
      ""content"": ""LMP: 20.08.2017, GA by LMP: 33 weeks 1 day, EDD: 27.05.2018"",
      ""contentType"": ""text""
    },
    {
      ""title"": ""General Findings"",
      ""content"": ""A single live intrauterine gestation with vertex presentation is seen. Spine to the left of maternal abdomen."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Foetal Parameters"",
      ""content"": [
        { ""parameter"": ""BPD"", ""value"": ""8.4 cms"" },
        { ""parameter"": ""HC"", ""value"": ""31.6 cms"" },
        { ""parameter"": ""AC"", ""value"": ""29.6 cms"" },
        { ""parameter"": ""FL"", ""value"": ""6.5 cms"" },
        { ""parameter"": ""U/S Age"", ""value"": ""34 weeks 1 day"" },
        { ""parameter"": ""EDD"", ""value"": ""20.05.2018"" },
        { ""parameter"": ""Foetal Weight"", ""value"": ""2291 +/- 339 gms"" }
      ],
      ""contentType"": ""table""
    },
    {
      ""title"": ""Placenta / Cord / Liquor"",
      ""content"": [
        ""Placenta: Posterior wall with Grade I maturity"",
        ""Liquor: Adequate"",
        ""3 vessel cord noted with central attachment""
      ],
      ""contentType"": ""list""
    },
    {
      ""title"": ""Fetal Wellbeing"",
      ""content"": [
        ""Foetal skull, CV junction, stomach, kidneys and foetal bladder normally imaged"",
        ""Foetal limbs, spine and face up to the extent visualised are normal""
      ],
      ""contentType"": ""list""
    },
    {
      ""title"": ""Cardia"",
      ""content"": [
        ""Normal situs & Axis (44 degrees)"",
        ""Four chamber view shows normal ventricles, atrium, AV valves, IAS and IVS"",
        ""Short axis 3 chamber view shows normal PA, aorta and LA"",
        ""Normal function and rhythm noted""
      ],
      ""contentType"": ""list""
    },
    {
      ""title"": ""Cervix"",
      ""content"": ""Normal in length, measures 3.6 cms."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Doppler Study"",
      ""content"": [
        ""Bilateral uterine arteries show normal colour uptake, flow pattern and velocities"",
        ""No evidence of early diastolic notch"",
        ""Umbilical artery and vein show normal colour uptake and flow pattern"",
        ""No evidence of reversal of flow in the umbilical artery"",
        ""Fetal MCA shows normal colour uptake"",
        ""No evidence of brain sparing effect""
      ],
      ""contentType"": ""list""
    }
  ],
  ""impression"": """",
  ""declaration"": """",
  ""followUp"": """"
}",
RADIOLOGY,OBG BPP AND DOPPLER BREECH,DETAILED REPORT,N/A,M/F,,,0,YEARS,100,YEARS,,"{
  ""reportType"": ""Obstetric Doppler Study"",
  ""sections"": [
    {
      ""title"": ""LMP / GA / EDD"",
      ""content"": ""LMP: 26.07.2019, GA by LMP: 38 weeks 1 day, EDD – 01/05/2020"",
      ""contentType"": ""text""
    },
    {
      ""title"": ""General Findings"",
      ""content"": ""A single live intrauterine gestation with Breech presentation is seen and spine seen to right of the maternal abdomen."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Foetal Parameters"",
      ""contentType"": ""table"",
      ""table"": {
        ""headers"": [""Parameter"", ""Value""],
        ""rows"": [
          [""BPD"", ""9.1 cms""],
          [""HC"", ""31.7 cms""],
          [""AC"", ""33.9 cms""],
          [""FL"", ""7.3 cms""],
          [""U/S Age"", ""36 weeks 6 days""],
          [""EDD"", ""10.05.2020""],
          [""Foetal Weight"", ""3213 +/- 476 gms""]
        ]
      }
    },
    {
      ""title"": ""Placenta"",
      ""content"": ""Fundal, anterior wall with grade ‘II’ maturity."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Liquor"",
      ""content"": ""Adequate, AFI - 15.6 cms."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Foetal Wellbeing"",
      ""content"": ""Foetal heart beats 138/min during resting and 162/min during movements. Reactivity is present. Foetal tone is good. Foetal breathing movements are normal. Foetal gross body movements are normal. Manning Score: 10/10."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Foetal Anatomy"",
      ""content"": ""Foetal skull, CV junction, stomach, kidneys and foetal bladder are normally imaged. Foetal limbs, spine and face upto the extent visualised are normal."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Cardiac Evaluation"",
      ""content"": ""Four chamber cardiac view appears normal. Normal function and rhythm noted."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Doppler Study"",
      ""content"": ""Bilateral uterine arteries show normal colour uptake, flow pattern and velocities. No evidence of early diastolic notch. Umbilical artery and vein show normal colour uptake & flow pattern. No evidence of reversal of flow in the umbilical artery. Foetal MCA shows normal colour uptake. No evidence of brain sparing effect. CPR is normal."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Impression"",
      ""content"": """",
      ""contentType"": ""text""
    }
  ]
}",
RADIOLOGY,OBG BPP AND DOPPLER TRANSVERSE,DETAILED REPORT,N/A,M/F,,,0,YEARS,100,YEARS,,"{
  ""reportType"": ""Obstetric Doppler Study"",
  ""sections"": [
    {
      ""title"": ""LMP / GA / EDD"",
      ""content"": ""LMP: 26.07.2019, GA by LMP: 38 weeks 1 day, EDD – 01/05/2020"",
      ""contentType"": ""text""
    },
    {
      ""title"": ""General Findings"",
      ""content"": ""A single live intrauterine gestation with transverse lie is seen and head in right flank of the maternal abdomen."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Foetal Parameters"",
      ""contentType"": ""table"",
      ""table"": {
        ""headers"": [""Parameter"", ""Value""],
        ""rows"": [
          [""BPD"", ""9.1 cms""],
          [""HC"", ""31.7 cms""],
          [""AC"", ""33.9 cms""],
          [""FL"", ""7.3 cms""],
          [""U/S Age"", ""36 weeks 6 days""],
          [""EDD"", ""10.05.2020""],
          [""Foetal Weight"", ""3213 +/- 476 gms""]
        ]
      }
    },
    {
      ""title"": ""Placenta"",
      ""content"": ""Fundal, anterior wall with grade II maturity."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Liquor"",
      ""content"": ""Adequate, AFI - 15.6 cms."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Foetal Wellbeing"",
      ""content"": ""Foetal heart beats 138/min during resting and 162/min during movements. Reactivity is present. Foetal tone is good. Foetal breathing movements are normal. Foetal gross body movements are normal. Manning Score: 10/10."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Foetal Anatomy"",
      ""content"": ""Foetal skull, CV junction, stomach, kidneys and foetal bladder are normally imaged. Foetal limbs, spine and face upto the extent visualised are normal."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Cardiac Evaluation"",
      ""content"": ""Four chamber cardiac view appears normal. Normal function and rhythm noted."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Doppler Study"",
      ""content"": ""Bilateral uterine arteries show normal colour uptake, flow pattern and velocities. No evidence of early diastolic notch. Umbilical artery and vein show normal colour uptake and flow pattern. No evidence of reversal of flow in the umbilical artery. Foetal MCA shows normal colour uptake. No evidence of brain sparing effect. CPR is normal."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Impression"",
      ""content"": """",
      ""contentType"": ""text""
    }
  ]
}",
RADIOLOGY,OBG BPP AND DOPPLER VERTEX,DETAILED REPORT,N/A,M/F,,,0,YEARS,100,YEARS,,"{
  ""reportType"": ""Obstetric USG, Doppler & BPP Study"",
  ""sections"": [
    {
      ""title"": ""LMP / GA / EDD"",
      ""content"": ""LMP: 12.11.2021"",
      ""contentType"": ""text""
    },
    {
      ""title"": ""General Findings"",
      ""content"": ""A single live intrauterine gestation with vertex presentation is seen and spine seen to right of the maternal abdomen."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Foetal Parameters"",
      ""contentType"": ""table"",
      ""table"": {
        ""headers"": [""Parameter"", ""Value""],
        ""rows"": [
          [""BPD"", ""9.3 cms""],
          [""HC"", ""32.2 cms""],
          [""AC"", ""32.5 cms""],
          [""FL"", ""7.1 cms""],
          [""U/S Age"", ""36 weeks 6 days""],
          [""EDD"", ""11.08.2021""],
          [""Foetal Weight"", ""2990 +/- 276 gms""]
        ]
      }
    },
    {
      ""title"": ""Placenta"",
      ""content"": ""Fundal, posterior wall with grade II maturity."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Liquor"",
      ""content"": ""Adequate, AFI - 13.6 cms."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Foetal Wellbeing / BPP"",
      ""content"": ""Foetal heart beats 138/min during resting and 152/min during movements. Reactivity is present. Foetal tone is good. Foetal breathing movements are normal. Foetal gross body movements are normal. Manning Score: 10/10."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Foetal Anatomy"",
      ""content"": ""Foetal skull, CV junction, stomach, kidneys and foetal bladder are normally imaged. Foetal limbs, spine and face upto the extent visualised are normal."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Cardiac Evaluation"",
      ""content"": ""Four chamber cardiac view appears normal. Normal function and rhythm noted."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Doppler Study"",
      ""content"": ""Umbilical artery and vein show normal colour uptake and flow pattern. No evidence of reversal of flow in the umbilical artery. Foetal MCA shows normal colour uptake. No evidence of brain sparing effect. CPR is normal."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Impression"",
      ""content"": """",
      ""contentType"": ""text""
    }
  ]
}",
RADIOLOGY,OBG Doppler,DETAILED REPORT,N/A,M/F,,,0,YEARS,100,YEARS,,"{
  ""reportType"": ""Obstetric Ultrasound & Doppler"",
  ""sections"": [
    {
      ""title"": ""General Findings"",
      ""content"": ""A single live intrauterine gestation with vertex presentation is seen and spine to the left of the maternal abdomen."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Foetal Parameters"",
      ""contentType"": ""table"",
      ""table"": {
        ""headers"": [""Parameter"", ""Value""],
        ""rows"": [
          [""BPD"", ""7.5 cms""],
          [""HC"", ""28.6 cms""],
          [""AC"", ""23.8 cms""],
          [""FL"", ""5.6 cms""],
          [""U/S Age"", ""29 weeks 4 days""],
          [""EDD"", ""10.06.2019""],
          [""Foetal Weight"", ""1300 +/- 386 gms""]
        ]
      }
    },
    {
      ""title"": ""Placenta"",
      ""content"": ""Anterior wall with grade II maturity."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Liquor"",
      ""content"": ""Adequate, AFI 12.3 cms."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Foetal Wellbeing"",
      ""content"": ""Foetal heart beats 133/min during resting and 144/min during movements. Reactivity is present. Foetal tone is good. Foetal breathing movements are normal."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Foetal Anatomy"",
      ""content"": ""Foetal skull, CV junction, stomach, kidneys and foetal bladder are normally imaged. Foetal limbs, spine and face upto the extent visualised are normal."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Cardiac Evaluation"",
      ""content"": ""Four chamber cardiac view appears normal. Normal function and rhythm noted."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Doppler Study"",
      ""content"": ""Bilateral uterine arteries show normal colour uptake, flow pattern and velocities. No evidence of early diastolic notch. Umbilical artery and vein show normal colour uptake and flow pattern. No evidence of reversal of flow in the umbilical artery. Foetal MCA shows normal colour uptake. No evidence of brain sparing effect."",
      ""contentType"": ""text""
    },
    {
      ""title"": ""Impression"",
      ""content"": """",
      ""contentType"": ""text""
    }
  ]
}",
